epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6693,2.4916,2.47813,1.05686,0.06942,0.31979,0.02581,0.00716,2.19157,2.94821,0.94315,0.000651163,0.000651163,0.000651163
2,60.1248,2.07751,1.19754,0.93088,0.15272,0.65861,0.44222,0.18953,1.9455,2.15215,0.91188,0.00126564,0.00126564,0.00126564
3,69.5375,1.94473,1.07528,0.91232,0.72265,0.48989,0.56282,0.23133,2.0225,1.44965,0.935,0.00182732,0.00182732,0.00182732
4,78.92,1.90683,1.02273,0.90295,0.74305,0.5671,0.61431,0.25614,1.91573,1.00645,0.91046,0.0017624,0.0017624,0.0017624
5,88.4406,1.87117,0.96583,0.89891,0.73069,0.55432,0.60345,0.25157,1.98494,1.04177,0.92035,0.0016832,0.0016832,0.0016832
6,97.9673,1.89349,0.97031,0.89997,0.77455,0.62001,0.67502,0.31209,1.74663,0.92573,0.89386,0.001604,0.001604,0.001604
7,107.331,1.81337,0.93901,0.89508,0.81562,0.65387,0.71721,0.34945,1.74342,0.88542,0.89202,0.0015248,0.0015248,0.0015248
8,116.384,1.77653,0.90593,0.88997,0.81713,0.6432,0.71575,0.35661,1.69009,0.88362,0.88794,0.0014456,0.0014456,0.0014456
9,125.911,1.79476,0.91604,0.88262,0.83085,0.67025,0.74108,0.36338,1.66909,0.9157,0.8819,0.0013664,0.0013664,0.0013664
10,135.333,1.74244,0.88512,0.87996,0.82399,0.67166,0.73886,0.3678,1.6508,0.84163,0.87841,0.0012872,0.0012872,0.0012872
11,144.687,1.77719,0.87563,0.88735,0.84072,0.68808,0.75946,0.38203,1.64589,0.80248,0.87644,0.001208,0.001208,0.001208
12,153.948,1.75981,0.86338,0.88029,0.84742,0.69688,0.76114,0.39192,1.60823,0.78266,0.87257,0.0011288,0.0011288,0.0011288
13,163.377,1.70449,0.82188,0.87295,0.8539,0.6932,0.75641,0.39545,1.60905,0.77887,0.87631,0.0010496,0.0010496,0.0010496
14,172.736,1.72622,0.82832,0.87076,0.84881,0.69257,0.75777,0.39519,1.6017,0.77996,0.87114,0.0009704,0.0009704,0.0009704
15,182.123,1.6857,0.82302,0.87816,0.84715,0.6985,0.76903,0.39174,1.63479,0.77419,0.87373,0.0008912,0.0008912,0.0008912
16,196.322,1.61986,0.83592,0.89087,0.81021,0.65871,0.72986,0.3483,1.70393,0.81989,0.8814,0.000812,0.000812,0.000812
17,205.602,1.61358,0.81213,0.88432,0.83804,0.69082,0.75822,0.38685,1.62936,0.79624,0.87088,0.0007328,0.0007328,0.0007328
18,214.866,1.58681,0.78608,0.8832,0.85197,0.70537,0.77493,0.41412,1.57381,0.74916,0.86775,0.0006536,0.0006536,0.0006536
19,223.972,1.60334,0.81248,0.889,0.85905,0.70556,0.77635,0.40934,1.57774,0.75522,0.8673,0.0005744,0.0005744,0.0005744
20,232.898,1.535,0.76155,0.87738,0.87317,0.70261,0.77997,0.41057,1.57301,0.74597,0.86835,0.0004952,0.0004952,0.0004952
21,241.796,1.54847,0.75476,0.87779,0.86162,0.71436,0.78082,0.41993,1.54879,0.73331,0.86477,0.000416,0.000416,0.000416
22,250.785,1.52654,0.73418,0.87436,0.87014,0.71442,0.78861,0.42567,1.54009,0.72292,0.86373,0.0003368,0.0003368,0.0003368
23,259.459,1.52087,0.72804,0.87242,0.85722,0.72141,0.78904,0.42724,1.53736,0.72082,0.86356,0.0002576,0.0002576,0.0002576
24,268.384,1.48591,0.709,0.87666,0.86108,0.72466,0.79241,0.43179,1.52475,0.71034,0.86128,0.0001784,0.0001784,0.0001784
25,277.508,1.49421,0.70712,0.87144,0.86562,0.72303,0.79376,0.43098,1.52613,0.70317,0.86142,9.92e-05,9.92e-05,9.92e-05
